,timestamp,type,entry,sl,tp,volume,profit,exit_reason
0,2025-01-12 19:27:44.862856,BUY,94980.48,94466.3746,95653.1381,0.09,0,
0,2025-01-13 10:15:00.741779,BUY,92413.18,91934.90555,93089.866675,0.1,0,
0,2025-01-14 08:09:59.422812,SELL,95896.26,96145.729157353,95187.499,0.18,0,
0,2025-01-15 04:40:01.720899,SELL,97000.2,97188.23537291664,96265.880025,0.2,0,
0,2025-01-20 00:15:04.601904,BUY,102350.43,100904.76117953857,105181.28764092288,0.03,0,
0,2025-01-20 10:45:00.059779,SELL,106420.87,107920.32240530467,103421.96518939064,0.02,0,
0,2025-01-21 04:00:00.029307,BUY,102357.1,101253.87615712738,104503.06768574523,0.03,0,
0,2025-01-22 07:44:59.877358,BUY,105510.19,104899.56886761506,106670.95226476986,0.06,0,
0,2025-01-29 07:42:14.730715,SELL,102228.95,102804.97,100500.88999999998,12.540000000000001,0,
0,2025-01-29 12:30:00.739513,BUY,102418.81,101913.34,103853.01999999999,18.55,0,
0,2025-01-31 13:26:34.450644,SELL,104041.92,105038.56,101052.0,0.5,0,
